,x
40111_g_at,0.678111512
37036_at,0.677615464
39728_at,0.677212884
41480_at,0.677175478
34659_at,0.677133979
35631_at,0.67619818
40506_s_at,0.675522492
35752_s_at,0.675240935
36348_r_at,0.67476342
41869_at,0.674323295
36906_at,0.672933171
35982_at,0.672631536
33026_at,0.672487329
1090_f_at,0.672295265
39219_at,0.671352823
33869_at,0.671069099
37585_at,0.670859404
1081_at,0.670737029
831_at,0.670018888
39024_at,0.669965912
32707_at,0.669270362
34854_at,0.667921182
39867_at,0.666531426
1251_g_at,0.666334267
35763_at,0.665284427
41249_at,0.664768664
37899_at,0.664606287
379_at,0.663892084
38811_at,0.663788301
326_i_at,0.662819445
41102_at,0.662636279
35937_at,0.662596213
41711_at,0.662450633
1054_at,0.662441642
1630_s_at,0.662410037
38363_at,0.662358994
38502_at,0.662053867
34306_at,0.66185358
36511_at,0.661728598
32747_at,0.661399609
33305_at,0.661220073
32662_at,0.661192154
33524_at,0.660634245
36126_at,0.660363872
41664_at,0.659038427
37173_at,0.658978328
40868_at,0.658909931
37143_s_at,0.658406583
41400_at,0.658264942
35271_at,0.657663244
40810_at,0.657496331
39060_at,0.656767549
32832_at,0.656440307
33233_at,0.656062477
35662_at,0.65538663
31783_at,0.655002312
33264_at,0.654888733
241_g_at,0.654713822
175_s_at,0.654690199
36302_f_at,0.654358519
948_s_at,0.654322038
37697_s_at,0.653804304
35818_at,0.653531225
37244_at,0.652649916
40262_at,0.652430787
34791_at,0.652416933
36555_at,0.652148737
38728_at,0.652034811
38689_at,0.651756916
37684_at,0.651641987
109_at,0.651561235
1782_s_at,0.65122245
40347_at,0.651114951
37174_at,0.650899392
41335_at,0.650871257
33378_at,0.650578717
40054_at,0.650522029
40477_r_at,0.650291763
36037_g_at,0.649961252
32850_at,0.649722954
33120_at,0.649590596
33230_at,0.649340409
41040_at,0.649232035
35759_at,0.649150321
36620_at,0.649020127
1373_at,0.648768954
37471_at,0.648527291
983_at,0.648487516
36535_at,0.648130791
1031_at,0.648090858
38887_r_at,0.647926917
37318_at,0.64791651
37177_at,0.647749121
38381_at,0.64747041
36805_s_at,0.64682095
1178_at,0.646530154
40074_at,0.646273294
330_s_at,0.645584457
38322_at,0.645556546
40115_at,0.644985624
35850_at,0.644882247
39625_at,0.644609833
34191_at,0.644520818
34510_at,0.644368673
39423_f_at,0.644010432
41834_g_at,0.643156906
35500_at,0.64290886
41552_g_at,0.642722874
38492_at,0.642634228
1490_at,0.642524448
34371_at,0.642051025
35338_at,0.641640425
32172_at,0.641260028
40134_at,0.639839393
33279_s_at,0.639807169
40786_at,0.639765674
41585_at,0.639232649
38857_r_at,0.639139488
118_at,0.638368669
40535_i_at,0.638138884
38386_r_at,0.637759805
40576_f_at,0.637687991
33150_at,0.637325279
37629_at,0.63699776
33307_at,0.636891973
876_at,0.636499921
41111_at,0.636410808
38451_at,0.63629291
1891_at,0.635812866
38501_s_at,0.635583164
40778_at,0.634444588
34403_at,0.633863164
1789_at,0.633829631
31439_f_at,0.633728082
39746_at,0.633417437
38371_at,0.633155148
37230_at,0.633118988
1794_at,0.63274235
41746_at,0.632656666
41403_at,0.632327627
34401_at,0.632320559
35140_at,0.632036475
1152_i_at,0.631436302
38050_at,0.630859174
33781_s_at,0.630157197
